2022-02-21T11:34:35.629Z|Data from Lic Read success
2022-02-21T11:34:35.629Z|Signature read success
2022-02-21T11:34:35.629Z|Data read success
2022-02-21T11:34:35.629Z|Data ready to decrypt
2022-02-21T11:34:35.637Z|Data decrypt success
2022-02-21T11:34:35.637Z|Data split success
2022-02-21T11:34:35.637Z|KeyId set success
2022-02-21T11:34:35.637Z|Key set success
2022-02-21T11:34:35.637Z|ProductID set success
2022-02-21T11:34:35.637Z|License init success
2022-02-21T11:34:35.696Z|Hashing pdf
2022-02-21T11:34:35.696Z|TransactionId: 20220221113735696cb140c30772545dcadf56b0eddce1ff9
2022-02-21T11:34:35.696Z|1) Pdf tlcertificate processing....
2022-02-21T11:34:35.704Z|Pdf: read success
2022-02-21T11:34:35.705Z|Pdf: genearting appearance....
2022-02-21T11:34:35.705Z|Pdf: genearting appearance.... text added
2022-02-21T11:34:35.705Z|Pdf: genearting appearance.... position set
2022-02-21T11:34:35.713Z|Pdf: appearance generated successfully
2022-02-21T11:34:35.713Z|Pdf: generating hash....
2022-02-21T11:34:35.763Z|Pdf: hash generated successfully
2022-02-21T11:34:35.763Z|Pdf: generating .sig file....
2022-02-21T11:34:35.763Z|Pdf: Creating and writing transaction data
2022-02-21T11:34:39.381Z|Pdf: Transaction data writtent successfully
2022-02-21T11:34:39.383Z|Pdf: /DS/Temp/20220221113735696cb140c30772545dcadf56b0eddce1ff9.sig generated successfully
2022-02-21T11:34:39.383Z|Hashing pdf Done
2022-02-21T11:34:39.384Z|Encrypting
2022-02-21T11:34:39.388Z|Encrypting Done
2022-02-21T11:34:39.388Z|info | encPKCSBulkSign
2022-02-21T11:34:50.139Z|Lic Read success
2022-02-21T11:34:50.139Z|Data from Lic Read success
2022-02-21T11:34:50.139Z|Signature read success
2022-02-21T11:34:50.139Z|Data read success
2022-02-21T11:34:50.139Z|Data ready to decrypt
2022-02-21T11:34:50.147Z|Data decrypt success
2022-02-21T11:34:50.147Z|Data split success
2022-02-21T11:34:50.147Z|KeyId set success
2022-02-21T11:34:50.147Z|Key set success
2022-02-21T11:34:50.147Z|ProductID set success
2022-02-21T11:34:50.147Z|License init success
2022-02-21T11:34:50.169Z|Generating pdf signing response
2022-02-21T11:34:50.169Z|error | Temp file does not exist|decPKCSBulkSign
2022-02-21T11:34:54.567Z|Lic Read success
2022-02-21T11:34:54.568Z|Data from Lic Read success
2022-02-21T11:34:54.568Z|Signature read success
2022-02-21T11:34:54.568Z|Data read success
2022-02-21T11:34:54.568Z|Data ready to decrypt
2022-02-21T11:34:54.574Z|Data decrypt success
2022-02-21T11:34:54.574Z|Data split success
2022-02-21T11:34:54.574Z|KeyId set success
2022-02-21T11:34:54.574Z|Key set success
2022-02-21T11:34:54.574Z|ProductID set success
2022-02-21T11:34:54.574Z|License init success
2022-02-21T11:34:54.597Z|info | encListToken
2022-02-21T11:35:21.890Z|Lic Read success
2022-02-21T11:35:21.890Z|Data from Lic Read success
2022-02-21T11:35:21.890Z|Signature read success
2022-02-21T11:35:21.890Z|Data read success
2022-02-21T11:35:21.890Z|Data ready to decrypt
2022-02-21T11:35:21.897Z|Data decrypt success
2022-02-21T11:35:21.897Z|Data split success
2022-02-21T11:35:21.897Z|KeyId set success
2022-02-21T11:35:21.897Z|Key set success
2022-02-21T11:35:21.897Z|ProductID set success
2022-02-21T11:35:21.897Z|License init success
2022-02-21T11:35:21.918Z|info | Dp4VO/yLznZ3PvJCH1un6yleQeMqxN8ROMGdIR7hWfI=|decListToken
2022-02-21T11:35:43.391Z|Lic Read success
2022-02-21T11:35:43.391Z|Data from Lic Read success
2022-02-21T11:35:43.391Z|Signature read success
2022-02-21T11:35:43.391Z|Data read success
2022-02-21T11:35:43.391Z|Data ready to decrypt
2022-02-21T11:35:43.399Z|Data decrypt success
2022-02-21T11:35:43.399Z|Data split success
